,Date,Temperature
0,2008-01-01 00:00:00,72.5
1,2008-01-01 01:00:00,71.0
2,2008-01-01 02:00:00,70.0
3,2008-01-01 03:00:00,68.0
4,2008-01-01 04:00:00,68.0
5,2008-01-01 05:00:00,68.0
6,2008-01-01 06:00:00,68.0
7,2008-01-01 07:00:00,66.0
8,2008-01-01 08:00:00,66.0
9,2008-01-01 09:00:00,67.0
10,2008-01-01 10:00:00,69.0
11,2008-01-01 11:00:00,74.0
12,2008-01-01 12:00:00,76.0
13,2008-01-01 13:00:00,76.0
14,2008-01-01 14:00:00,75.0
15,2008-01-01 15:00:00,74.0
16,2008-01-01 16:00:00,73.0
17,2008-01-01 17:00:00,72.5
18,2008-01-01 18:00:00,72.0
19,2008-01-01 19:00:00,70.0
20,2008-01-01 20:00:00,70.0
21,2008-01-01 21:00:00,70.0
22,2008-01-01 22:00:00,70.0
23,2008-01-01 23:00:00,70.0
24,2008-01-02 00:00:00,70.0
25,2008-01-02 01:00:00,70.0
26,2008-01-02 02:00:00,69.0
27,2008-01-02 03:00:00,68.0
28,2008-01-02 04:00:00,67.0
29,2008-01-02 05:00:00,67.0
30,2008-01-02 06:00:00,66.0
31,2008-01-02 07:00:00,65.0
32,2008-01-02 08:00:00,67.0
33,2008-01-02 09:00:00,70.0
34,2008-01-02 10:00:00,72.0
35,2008-01-02 11:00:00,73.0
36,2008-01-02 12:00:00,74.0
37,2008-01-02 13:00:00,76.0
38,2008-01-02 14:00:00,75.0
39,2008-01-02 15:00:00,75.0
40,2008-01-02 16:00:00,73.0
41,2008-01-02 17:00:00,73.0
42,2008-01-02 18:00:00,72.5
43,2008-01-02 19:00:00,72.0
44,2008-01-02 20:00:00,71.0
45,2008-01-02 21:00:00,71.0
46,2008-01-02 22:00:00,70.0
47,2008-01-02 23:00:00,70.0
48,2008-01-03 00:00:00,70.0
49,2008-01-03 01:00:00,70.0
50,2008-01-03 02:00:00,69.0
51,2008-01-03 03:00:00,68.0
52,2008-01-03 04:00:00,68.0
53,2008-01-03 05:00:00,70.0
54,2008-01-03 06:00:00,70.0
55,2008-01-03 07:00:00,70.0
56,2008-01-03 08:00:00,68.0
57,2008-01-03 09:00:00,71.0
58,2008-01-03 10:00:00,73.0
59,2008-01-03 11:00:00,77.0
60,2008-01-03 12:00:00,75.0
61,2008-01-03 13:00:00,76.0
62,2008-01-03 14:00:00,77.0
